Sample.Name,Wavelength,Genotype,Mean
971022,X1350.000323,X97,-0.09059623276879969
971022,X1352.48651,X97,-0.09059623276879969
971022,X1354.981872,X97,-0.09059623276879969
971022,X1357.486459,X97,-0.09059623276879969
971022,X1360.000322,X97,-0.09059623276879969
971022,X1362.523513,X97,-0.09059623276879969
971022,X1365.056084,X97,-0.09059623276879969
971022,X1367.598087,X97,-0.09059623276880027
971022,X1370.149576,X97,-0.11304142856227127
971022,X1372.710602,X97,-0.13323903923938846
971022,X1375.28122,X97,-0.14870518804998956
971022,X1377.861485,X97,-0.15653481319597098
971022,X1380.451449,X97,-0.15379455979638043
971022,X1383.051169,X97,-0.13845069353479889
971022,X1385.660698,X97,-0.11024431816795977
971022,X1388.280094,X97,-0.07109917657670803
971022,X1390.909412,X97,-0.024765786417259673
971022,X1393.548708,X97,0.023950269871255713
971022,X1396.198039,X97,0.07014935065449208
971022,X1398.857463,X97,0.10966555361129016
971022,X1401.527038,X97,0.13957109161225986
971022,X1404.206821,X97,0.15836561001238939
971022,X1406.896872,X97,0.16600275029627232
971022,X1409.597249,X97,0.16370937153630669
971022,X1412.308012,X97,0.1536298118045678
971022,X1415.029221,X97,0.13854810908855847
971022,X1417.760937,X97,0.12149382806130155
971022,X1420.50322,X97,0.10502498713531563
971022,X1423.256133,X97,0.09080109436813204
971022,X1426.019736,X97,0.07940836617862543
971022,X1428.794093,X97,0.07046489852941196
971022,X1431.579266,X97,0.06298589540508526
971022,X1434.375318,X97,0.05588720255709998
971022,X1437.182314,X97,0.04847397561840135
971022,X1440.000318,X97,0.0407330764748979
971022,X1442.829394,X97,0.033359420343675915
971022,X1445.669608,X97,0.027503912829670265
971022,X1448.521027,X97,0.02420638726621399
971022,X1451.383716,X97,0.023912285036629975
971022,X1454.257742,X97,0.026350028954427753
971022,X1457.143173,X97,0.030574718491704282
971022,X1460.040077,X97,0.03526364901960778
971022,X1462.948523,X97,0.0391066928415212
971022,X1465.868579,X97,0.04114441906431805
971022,X1468.800315,X97,0.040952725913057555
971022,X1471.743802,X97,0.03867928637147161
971022,X1474.69911,X97,0.03484521273163103
971022,X1477.66631,X97,0.030101512857142555
971022,X1480.645475,X97,0.02506136052143911
971022,X1483.636678,X97,0.02025248070997609
971022,X1486.63999,X97,0.016105425757379794
971022,X1489.655486,X97,0.012903478359728434
971022,X1492.68324,X97,0.01075321261527699
971022,X1495.723327,X97,0.009559717363714708
971022,X1498.775823,X97,0.009034179840012983
971022,X1501.840803,X97,0.008757913597284997
971022,X1504.918345,X97,0.008318160818250438
971022,X1508.008525,X97,0.007387447132083598
971022,X1511.111422,X97,0.005892572425662754
971022,X1514.227115,X97,0.004048439845938424
971022,X1517.355682,X97,0.00217304557045912
971022,X1520.497205,X97,5.142617937945153e-4
971022,X1523.651762,X97,-8.608887949795731e-4
971022,X1526.819436,X97,-0.0020775332622280976
971022,X1530.000309,X97,-0.0033537596213100407
971022,X1533.194463,X97,-0.004847890995475226
971022,X1536.401982,X97,-0.00653437768261164
971022,X1539.62295,X97,-0.008175159410148871
971022,X1542.857451,X97,-0.009375830518746122
971022,X1546.105571,X97,-0.00976704706259445
971022,X1549.367396,X97,-0.009220543858004806
971022,X1552.643013,X97,-0.007937183373195572
971022,X1555.93251,X97,-0.006278812330316672
971022,X1559.235975,X97,-0.0046310556108597484
971022,X1562.553497,X97,-0.0032795152693384753
971022,X1565.885166,X97,-0.002337213625296301
971022,X1569.231074,X97,-0.0017559039996767637
971022,X1572.591311,X97,-0.0014028795868347938
971022,X1575.965969,X97,-0.0011590734022841232
971022,X1579.355142,X97,-9.718617065289756e-4
971022,X1582.758923,X97,-9.344541709761294e-4
971022,X1586.177408,X97,-0.0011973503700709776
971022,X1589.610691,X97,-0.00186716303382871
971022,X1593.05887,X97,-0.003017662814587467
971022,X1596.52204,X97,-0.0047061179880413945
971022,X1600.0003,X97,-0.006930126725921023
971022,X1603.49375,X97,-0.009587905625403731
971022,X1607.002488,X97,-0.012446763332255844
971022,X1610.526615,X97,-0.015145001840659365
971022,X1614.066232,X97,-0.01725729845291979
971022,X1617.621443,X97,-0.01843380755063579
971022,X1621.19235,X97,-0.018613139591144436
971022,X1624.779058,X97,-0.018064899303490874
971022,X1628.381671,X97,-0.017412994976298526
971022,X1632.000296,X97,-0.017480289396143253
971022,X1635.635039,X97,-0.018892440479961456
971022,X1639.286009,X97,-0.021787138730338357
971022,X1642.953314,X97,-0.025720879771062514
971022,X1646.637065,X97,-0.02980217593891422
971022,X1650.337371,X97,-0.03302566745528999
971022,X1654.054346,X97,-0.03466738631975888
971022,X1657.788102,X97,-0.03456636887147191
971022,X1661.538753,X97,-0.033174447809739445
971022,X1665.306413,X97,-0.03135663161226052
971022,X1669.091199,X97,-0.029875326848200996
971022,X1672.893228,X97,-0.02905592825307054
971022,X1676.712617,X97,-0.028557208486856344
971022,X1680.549487,X97,-0.02755889596369324
