Sample.Name,Wavelength,Genotype,Mean
971022,X1350.000323,X97,51.70885878
971022,X1352.48651,X97,51.20209791
971022,X1354.981872,X97,50.67332927
971022,X1357.486459,X97,50.08205116
971022,X1360.000322,X97,49.43097883
971022,X1362.523513,X97,48.75601401
971022,X1365.056084,X97,48.09619321
971022,X1367.598087,X97,47.45972377
971022,X1370.149576,X97,46.80076786
971022,X1372.710602,X97,46.03667329
971022,X1375.28122,X97,45.07978004
971022,X1377.861485,X97,43.87217666
971022,X1380.451449,X97,42.40553352
971022,X1383.051169,X97,40.71587349
971022,X1385.660698,X97,38.85998896
971022,X1388.280094,X97,36.89033087
971022,X1390.909412,X97,34.8439906
971022,X1393.548708,X97,32.7496972
971022,X1396.198039,X97,30.64418661
971022,X1398.857463,X97,28.59682197
971022,X1401.527038,X97,26.69133257
971022,X1404.206821,X97,25.0048463
971022,X1406.896872,X97,23.58468891
971022,X1409.597249,X97,22.43305502
971022,X1412.308012,X97,21.50882699
971022,X1415.029221,X97,20.74562049
971022,X1417.760937,X97,20.07829626
971022,X1420.50322,X97,19.46641143
971022,X1423.256133,X97,18.90382861
971022,X1426.019736,X97,18.41408033
971022,X1428.794093,X97,18.02587683
971022,X1431.579266,X97,17.74672101
971022,X1434.375318,X97,17.56253548
971022,X1437.182314,X97,17.44222715
971022,X1440.000318,X97,17.35254271
971022,X1442.829394,X97,17.27233668
971022,X1445.669608,X97,17.19839013
971022,X1448.521027,X97,17.14067179
971022,X1451.383716,X97,17.11135974
971022,X1454.257742,X97,17.11508126
971022,X1457.143173,X97,17.14670291
971022,X1460.040077,X97,17.1962463
971022,X1462.948523,X97,17.26042766
971022,X1465.868579,X97,17.35115984
971022,X1468.800315,X97,17.49049332
971022,X1471.743802,X97,17.69948986
971022,X1474.69911,X97,17.9858927
971022,X1477.66631,X97,18.33779005
971022,X1480.645475,X97,18.72702706
971022,X1483.636678,X97,19.12121757
971022,X1486.63999,X97,19.49829631
971022,X1489.655486,X97,19.85592959
971022,X1492.68324,X97,20.21292003
971022,X1495.723327,X97,20.59322535
971022,X1498.775823,X97,21.0111626
971022,X1501.840803,X97,21.46412067
971022,X1504.918345,X97,21.93471058
971022,X1508.008525,X97,22.40123715
971022,X1511.111422,X97,22.8501908
971022,X1514.227115,X97,23.28333055
971022,X1517.355682,X97,23.71527399
971022,X1520.497205,X97,24.16356555
971022,X1523.651762,X97,24.63725967
971022,X1526.819436,X97,25.13160045
971022,X1530.000309,X97,25.62573052
971022,X1533.194463,X97,26.09971977
971022,X1536.401982,X97,26.54486019
971022,X1539.62295,X97,26.96661124
971022,X1542.857451,X97,27.37985543
971022,X1546.105571,X97,27.79884278
971022,X1549.367396,X97,28.22798474
971022,X1552.643013,X97,28.65888187
971022,X1555.93251,X97,29.07537868
971022,X1559.235975,X97,29.46395666
971022,X1562.553497,X97,29.8231803
971022,X1565.885166,X97,30.1680648
971022,X1569.231074,X97,30.521184
971022,X1572.591311,X97,30.89810788
971022,X1575.965969,X97,31.30006176
971022,X1579.355142,X97,31.71360605
971022,X1582.758923,X97,32.11827886
971022,X1586.177408,X97,32.49809113
971022,X1589.610691,X97,32.85068526
971022,X1593.05887,X97,33.18880365
971022,X1596.52204,X97,33.53307462
971022,X1600.0003,X97,33.89997248
971022,X1603.49375,X97,34.29274073
971022,X1607.002488,X97,34.69349318
971022,X1610.526615,X97,35.07599594
971022,X1614.066232,X97,35.4186579
971022,X1617.621443,X97,35.71302725
971022,X1621.19235,X97,35.96632177
971022,X1624.779058,X97,36.19621068
971022,X1628.381671,X97,36.42117514
971022,X1632.000296,X97,36.65164328
971022,X1635.635039,X97,36.88633122
971022,X1639.286009,X97,37.11457721
971022,X1642.953314,X97,37.3222395
971022,X1646.637065,X97,37.49466433
971022,X1650.337371,X97,37.62651463
971022,X1654.054346,X97,37.71530262
971022,X1657.788102,X97,37.7605783
971022,X1661.538753,X97,37.76320817
971022,X1665.306413,X97,37.72627682
971022,X1669.091199,X97,37.65610463
971022,X1672.893228,X97,37.56160376
971022,X1676.712617,X97,37.45103269
971022,X1680.549487,X97,37.32739615
971022,X1684.403957,X97,37.18530423
971022,X1688.276149,X97,37.01131176
971022,X1692.166184,X97,36.78901835
971022,X1696.074188,X97,36.51779916
971022,X1700.000284,X97,36.2117882
971022,X1703.944599,X97,35.90090072
971022,X1707.90726,X97,35.62176563
971022,X1711.888394,X97,35.40454772
971022,X1715.888132,X97,35.26173973
971022,X1719.906604,X97,35.1836821
971022,X1723.943942,X97,35.1425331
971022,X1728.000279,X97,35.10274414
971022,X1732.07575,X97,35.03344153
971022,X1736.17049,X97,34.91612759
971022,X1740.284637,X97,34.74888637
971022,X1744.418328,X97,34.54538363
971022,X1748.571704,X97,34.31976559
971022,X1752.744904,X97,34.08452103
971022,X1756.938072,X97,33.85004083
971022,X1761.151352,X97,33.62706663
971022,X1765.384887,X97,33.42908722
971022,X1769.638825,X97,33.27206753
971022,X1773.913313,X97,33.17106228
971022,X1778.208501,X97,33.1352397
971022,X1782.52454,X97,33.16443355
971022,X1786.861581,X97,33.25033246
971022,X1791.219778,X97,33.37833975
971022,X1795.599287,X97,33.53283869
971022,X1800.000264,X97,33.70585807
971022,X1804.422868,X97,33.89294676
971022,X1808.867257,X97,34.08816983
971022,X1813.333595,X97,34.27903633
971022,X1817.822042,X97,34.44493543
971022,X1822.332765,X97,34.5605993
971022,X1826.86593,X97,34.60257748
971022,X1831.421703,X97,34.55382349
971022,X1836.000256,X97,34.40128745
971022,X1840.601759,X97,34.12228121
971022,X1845.226384,X97,33.66300574
971022,X1849.874308,X97,32.95361561
971022,X1854.545706,X97,31.89565337
971022,X1859.240757,X97,30.39552644
971022,X1863.95964,X97,28.40029312
971022,X1868.702538,X97,25.92873838
971022,X1873.469635,X97,23.08364313
971022,X1878.261115,X97,20.03951382
971022,X1883.077167,X97,17.01081358
971022,X1887.917981,X97,14.21162084
971022,X1892.783747,X97,11.81681938
971022,X1897.674659,X97,9.93318244
971022,X1902.590913,X97,8.613176243
971022,X1907.532705,X97,7.75304013
971022,X1912.500237,X97,7.240783823
971022,X1917.493708,X97,6.959132132
971022,X1922.513323,X97,6.816927713
971022,X1927.559288,X97,6.76281768
971022,X1932.63181,X97,6.780191458
971022,X1937.7311,X97,6.870840293
971022,X1942.857371,X97,7.037464423
971022,X1948.010837,X97,7.273047586
971022,X1953.191715,X97,7.560254611
971022,X1958.400224,X97,7.878500409
971022,X1963.636586,X97,8.213786491
971022,X1968.901025,X97,8.561956611
971022,X1974.193768,X97,8.928240738
971022,X1979.515043,X97,9.319672526
971022,X1984.865081,X97,9.738225982
971022,X1990.244117,X97,10.17819264
971022,X1995.652387,X97,10.62819996
971022,X2001.09013,X97,11.07596505
971022,X2006.557587,X97,11.5127122
971022,X2012.055002,X97,11.93480501
971022,X2017.582624,X97,12.34222327
971022,X2023.1407,X97,12.73540005
971022,X2028.729484,X97,13.11243341
971022,X2034.349231,X97,13.46844781
971022,X2040.000199,X97,13.80008505
971022,X2045.682649,X97,14.10647103
971022,X2051.396843,X97,14.39101385
971022,X2057.143051,X97,14.66040377
971022,X2062.92154,X97,14.9221113
971022,X2068.732584,X97,15.18182721
971022,X2074.576459,X97,15.44205381
971022,X2080.453444,X97,15.70234299
971022,X2086.36382,X97,15.96067907
971022,X2092.307874,X97,16.21496703
971022,X2098.285894,X97,16.46385951
971022,X2104.298172,X97,16.70675979
971022,X2110.345003,X97,16.94421929
971022,X2116.426686,X97,17.17840008
971022,X2122.543524,X97,17.41394286
971022,X2128.695821,X97,17.6583282
971022,X2134.883888,X97,17.92050851
971022,X2141.108036,X97,18.2077684
971022,X2147.368583,X97,18.52195251
971022,X2153.665849,X97,18.85708285
971022,X2160.000158,X97,19.2000628
971022,X2166.371837,X97,19.5347652
971022,X2172.781218,X97,19.84788908
971022,X2179.228637,X97,20.13345246
971022,X2185.714434,X97,20.39174035
971022,X2192.238952,X97,20.62773327
971022,X2198.802538,X97,20.83694455
971022,X2205.405546,X97,21.00014838
971022,X2212.048331,X97,21.08326869
971022,X2218.731253,X97,21.04561764
971022,X2225.454678,X97,20.85420508
971022,X2232.218975,X97,20.49805992
971022,X2239.024517,X97,19.99590307
971022,X2245.871684,X97,19.393631
971022,X2252.760858,X97,18.7526186
971022,X2259.692427,X97,18.13319453
971022,X2266.666783,X97,17.57953986
971022,X2273.684324,X97,17.11167579
971022,X2280.745452,X97,16.71155111
971022,X2287.850574,X97,16.34962604
971022,X2295.000104,X97,15.99515874
971022,X2302.194458,X97,15.62803379
971022,X2309.43406,X97,15.24390952
971022,X2316.719338,X97,14.85195448
971022,X2324.050724,X97,14.46760755
971022,X2331.42866,X97,14.10426286
971022,X2338.853588,X97,13.76752831
971022,X2346.32596,X97,13.45408581
971022,X2353.846232,X97,13.15474205
971022,X2361.414866,X97,12.85928229
971022,X2369.03233,X97,12.5601569
971022,X2376.699097,X97,12.25456152
971022,X2384.415649,X97,11.94164652
971022,X2392.182471,X97,11.61943927
971022,X2400.000057,X97,11.28307544
971022,X2407.868906,X97,10.92542816
971022,X2415.789523,X97,10.5399973
971022,X2423.762422,X97,10.12472456
971022,X2431.788122,X97,9.684994784
971022,X2439.867148,X97,9.234433943
971022,X2448.000034,X97,8.792771024
971022,X2456.187321,X97,8.381042816
971022,X2464.429556,X97,8.016053337
971022,X2472.727295,X97,7.709645193
971022,X2481.081099,X97,7.457233508
971022,X2489.491539,X97,7.253668436
971022,X2497.959193,X97,7.094151751
971022,X2506.484647,X97,6.976514164
971022,X2515.068494,X97,6.900310229
971022,X2523.711336,X97,6.86360192
971022,X2532.413785,X97,6.859842767
971022,X2541.176458,X97,6.877214307
971022,X2549.999982,X97,6.900868843
971145,X1350.000323,X97,49.60440147
971145,X1352.48651,X97,49.15026554
971145,X1354.981872,X97,48.73815375
971145,X1357.486459,X97,48.31315102
971145,X1360.000322,X97,47.83814165
971145,X1362.523513,X97,47.30191063
971145,X1365.056084,X97,46.71193474
